editid,editor,oldrevisionid,newrevisionid,diffurl,edittime,editcomment,articleid,articletitle,editid_1,class
428,173.24.96.50,328417026,328417466,http://en.wikipedia.org/w/index.php?diff=328417466&oldid=328417026,2009-11-28T18:04:04Z,/* Synopsis */,10024355,Full Tilt (novel),428,vandalism
449,142.31.12.254,324748789,326778300,http://en.wikipedia.org/w/index.php?diff=326778300&oldid=324748789,2009-11-19T19:04:00Z,/* Personal life */,375670,Laura Linney,449,vandalism
463,96.250.191.196,327158775,327161109,http://en.wikipedia.org/w/index.php?diff=327161109&oldid=327158775,2009-11-21T20:03:17Z,null,17469854,List of villains in Totally Spies!,463,vandalism
464,69.142.50.125,326519224,327765210,http://en.wikipedia.org/w/index.php?diff=327765210&oldid=326519224,2009-11-24T23:56:10Z,"/* Hoarkill, New Amstel, and Upland */",37146,New Sweden,464,vandalism
492,209.175.157.14,325467329,327693371,http://en.wikipedia.org/w/index.php?diff=327693371&oldid=325467329,2009-11-24T17:08:47Z,null,111952,"Pearl City, Illinois",492,vandalism
510,173.54.117.14,329036052,329036426,http://en.wikipedia.org/w/index.php?diff=329036426&oldid=329036052,2009-12-01T14:31:56Z,/* Style */,2888969,Guido (slang),510,vandalism
523,99.229.248.43,327390236,327390491,http://en.wikipedia.org/w/index.php?diff=327390491&oldid=327390236,2009-11-23T01:34:30Z,null,66441,Juan Diego,523,vandalism
566,98.109.201.98,322570200,329091661,http://en.wikipedia.org/w/index.php?diff=329091661&oldid=322570200,2009-12-01T19:30:25Z,/* History */,15587631,Talent management,566,vandalism
582,82.35.90.179,319386343,327215161,http://en.wikipedia.org/w/index.php?diff=327215161&oldid=319386343,2009-11-22T01:58:50Z,null,3109949,Inferior,582,vandalism
665,Coolbeens,329747187,329747918,http://en.wikipedia.org/w/index.php?diff=329747918&oldid=329747187,2009-12-04T22:00:53Z,/* Nomination and selection */,21201,Nobel Prize,665,vandalism
688,98.246.112.177,328140173,328866119,http://en.wikipedia.org/w/index.php?diff=328866119&oldid=328140173,2009-11-30T20:05:51Z,/* Dynamic code */,33898,Website,688,vandalism
701,75.53.135.226,328276314,328725139,http://en.wikipedia.org/w/index.php?diff=328725139&oldid=328276314,2009-11-30T03:26:49Z,/* Bugs and support */,3161187,Google Analytics,701,vandalism
706,70.15.11.83,326593321,327586130,http://en.wikipedia.org/w/index.php?diff=327586130&oldid=326593321,2009-11-24T02:01:52Z,/* Geography */,50413,Sierra Nevada (U.S.),706,vandalism
747,99.142.91.166,313131667,327600055,http://en.wikipedia.org/w/index.php?diff=327600055&oldid=313131667,2009-11-24T03:41:52Z,/* See also */,6654787,Educational television,747,vandalism
752,67.128.203.7,329612873,329716683,http://en.wikipedia.org/w/index.php?diff=329716683&oldid=329612873,2009-12-04T19:13:10Z,null,58296,California Gold Rush,752,vandalism
766,74.93.85.101,329258136,329258306,http://en.wikipedia.org/w/index.php?diff=329258306&oldid=329258136,2009-12-02T15:53:09Z,/* Mayflower Pilgrims and Puritans arrive in New England (1620s) */,20047771,New England Colonies,766,vandalism
771,24.215.49.210,326732856,326843305,http://en.wikipedia.org/w/index.php?diff=326843305&oldid=326732856,2009-11-20T01:14:02Z,/* Types of colonialism */,7299,Colonialism,771,vandalism
824,Elninodylan1234,327218758,327263856,http://en.wikipedia.org/w/index.php?diff=327263856&oldid=327218758,2009-11-22T09:50:57Z,/* See also */,12039869,Martin Hansson,824,vandalism
826,72.252.220.85,325292526,328132336,http://en.wikipedia.org/w/index.php?diff=328132336&oldid=325292526,2009-11-27T01:31:03Z,/* Lion of Judah in Rastafari */,323508,Lion of Judah,826,vandalism
839,Tr3smay0r3z,327136180,327463368,http://en.wikipedia.org/w/index.php?diff=327463368&oldid=327136180,2009-11-23T12:23:48Z,vcpx4.tk varrio central poros montalban,2117479,VCP,839,vandalism
905,90.215.61.73,329864509,329866743,http://en.wikipedia.org/w/index.php?diff=329866743&oldid=329864509,2009-12-05T13:21:14Z,null,1769579,Aruna Dindane,905,vandalism
954,71.97.74.165,316425773,328342230,http://en.wikipedia.org/w/index.php?diff=328342230&oldid=316425773,2009-11-28T07:57:30Z,null,18682556,Miracle Hikaru,954,vandalism
998,164.58.75.210,329287641,329287860,http://en.wikipedia.org/w/index.php?diff=329287860&oldid=329287641,2009-12-02T18:46:42Z,/* Use as access control */,13586,HTTP Secure,998,vandalism
1014,67.163.103.123,327502854,327513652,http://en.wikipedia.org/w/index.php?diff=327513652&oldid=327502854,2009-11-23T18:39:59Z,/* Recent history */,326512,American Express,1014,vandalism
1043,65.101.170.212,283412595,327016698,http://en.wikipedia.org/w/index.php?diff=327016698&oldid=283412595,2009-11-20T23:29:11Z,/* References */,14958504,The Fireflies,1043,vandalism
1046,96.251.164.187,329945790,329945936,http://en.wikipedia.org/w/index.php?diff=329945936&oldid=329945790,2009-12-05T22:23:05Z,/* Tobe */,11670518,List of Pucca characters,1046,vandalism
1069,194.83.96.116,327863432,327865998,http://en.wikipedia.org/w/index.php?diff=327865998&oldid=327863432,2009-11-25T14:30:38Z,/* Early Life */,323481,Robert Owen,1069,vandalism
1108,82.23.5.11,323159397,326820137,http://en.wikipedia.org/w/index.php?diff=326820137&oldid=323159397,2009-11-19T22:52:57Z,null,2092829,Shane Williams,1108,vandalism
1127,97.88.253.146,327680741,327680860,http://en.wikipedia.org/w/index.php?diff=327680860&oldid=327680741,2009-11-24T15:50:39Z,null,10778278,Valley Forge,1127,vandalism
1139,Ggff2 nez perce info,326258406,329140505,http://en.wikipedia.org/w/index.php?diff=329140505&oldid=326258406,2009-12-01T23:50:41Z,nez perce,21187,Nez Perce,1139,vandalism
1185,210.212.201.5,327447021,328365800,http://en.wikipedia.org/w/index.php?diff=328365800&oldid=327447021,2009-11-28T11:52:26Z,null,1862733,Rajesh Khanna,1185,vandalism
1208,217.31.169.82,326571006,326896809,http://en.wikipedia.org/w/index.php?diff=326896809&oldid=326571006,2009-11-20T08:56:13Z,/* External links */,1586087,Danny Way,1208,vandalism
1211,86.145.122.29,327168253,327168472,http://en.wikipedia.org/w/index.php?diff=327168472&oldid=327168253,2009-11-21T20:49:32Z,null,24217325,Fight for This Love,1211,vandalism
1214,65.96.120.3,328521810,328523031,http://en.wikipedia.org/w/index.php?diff=328523031&oldid=328521810,2009-11-29T04:46:41Z,/* Track listing */,1717289,Elephunk,1214,vandalism
1240,149.254.49.10,327998085,328024491,http://en.wikipedia.org/w/index.php?diff=328024491&oldid=327998085,2009-11-26T11:02:00Z,null,233412,Michael Barrymore,1240,vandalism
1256,67.23.155.48,329784190,329963030,http://en.wikipedia.org/w/index.php?diff=329963030&oldid=329784190,2009-12-06T00:06:26Z,/* References */,741780,Ryan Cooley,1256,vandalism
1290,96.234.233.177,328693144,328718312,http://en.wikipedia.org/w/index.php?diff=328718312&oldid=328693144,2009-11-30T02:45:44Z,/* High school career */,14470855,Joe Flacco,1290,vandalism
1321,98.121.109.177,324538898,327459906,http://en.wikipedia.org/w/index.php?diff=327459906&oldid=324538898,2009-11-23T11:47:16Z,/* References */,5578644,Monroe piercing,1321,vandalism
1323,75.181.45.134,326657721,328368997,http://en.wikipedia.org/w/index.php?diff=328368997&oldid=326657721,2009-11-28T12:22:45Z,null,399703,Jeri Ryan,1323,vandalism
1326,72.150.140.143,329054735,329120771,http://en.wikipedia.org/w/index.php?diff=329120771&oldid=329054735,2009-12-01T22:00:55Z,/* References */,73670,A Christmas Carol,1326,vandalism
1337,69.120.123.62,327477168,327745203,http://en.wikipedia.org/w/index.php?diff=327745203&oldid=327477168,2009-11-24T22:04:47Z,/* External links */,28271,Sushi,1337,vandalism
1375,IxYash,329058464,329077669,http://en.wikipedia.org/w/index.php?diff=329077669&oldid=329058464,2009-12-01T18:19:47Z,[[WP:UNDO|Undid]] revision 329058464 by [[Special:Contributions/75.99.113.226|75.99.113.226]] ([[User talk:75.99.113.226|talk]]),311200,Jerry Bruckheimer,1375,vandalism
1383,74.222.119.12,328839363,328839691,http://en.wikipedia.org/w/index.php?diff=328839691&oldid=328839363,2009-11-30T17:57:14Z,/* Maria Ossa de Amador Proposal */,459289,Flag of Panama,1383,vandalism
1386,82.29.210.1,328968022,329053089,http://en.wikipedia.org/w/index.php?diff=329053089&oldid=328968022,2009-12-01T16:11:01Z,null,47384,Brooklyn,1386,vandalism
1388,216.249.48.81,328904292,329618572,http://en.wikipedia.org/w/index.php?diff=329618572&oldid=328904292,2009-12-04T06:12:17Z,/* Ancestry */,26582,Robert I of Scotland,1388,vandalism
1390,142.227.31.1,327473102,327880079,http://en.wikipedia.org/w/index.php?diff=327880079&oldid=327473102,2009-11-25T16:11:13Z,/* Geography */,21184,Nova Scotia,1390,vandalism
1402,Hugom2c,328179685,328382424,http://en.wikipedia.org/w/index.php?diff=328382424&oldid=328179685,2009-11-28T14:17:13Z,[[WP:AES|←]]Replaced content with {{,2110323,Rihanna,1402,vandalism
1409,166.205.139.4,327415026,327503538,http://en.wikipedia.org/w/index.php?diff=327503538&oldid=327415026,2009-11-23T17:34:00Z,/* Indonesia */,16394033,Early life and career of Barack Obama,1409,vandalism
1442,142.23.96.160,326759329,326970712,http://en.wikipedia.org/w/index.php?diff=326970712&oldid=326759329,2009-11-20T18:39:57Z,null,329382,"Vernon, British Columbia",1442,vandalism
1529,96.238.6.68,326296329,326869823,http://en.wikipedia.org/w/index.php?diff=326869823&oldid=326296329,2009-11-20T04:14:13Z,null,1354207,Balzac and the Little Chinese Seamstress,1529,vandalism
1537,203.59.201.199,326437974,327246076,http://en.wikipedia.org/w/index.php?diff=327246076&oldid=326437974,2009-11-22T06:31:12Z,/* Lockets */,6407860,H2O: Just Add Water,1537,vandalism
1538,201.228.197.80,326958031,327075744,http://en.wikipedia.org/w/index.php?diff=327075744&oldid=326958031,2009-11-21T07:53:23Z,/* External links */,85631,Augmented reality,1538,vandalism
1567,205.215.177.162,323827907,326738620,http://en.wikipedia.org/w/index.php?diff=326738620&oldid=323827907,2009-11-19T14:53:02Z,/* Southdale today */,1925975,Southdale Center,1567,vandalism
1575,Soue13,327387143,327756580,http://en.wikipedia.org/w/index.php?diff=327756580&oldid=327387143,2009-11-24T23:06:53Z,/* Formation */,19654281,Pangaea,1575,vandalism
1585,Kt32,329669907,329670034,http://en.wikipedia.org/w/index.php?diff=329670034&oldid=329669907,2009-12-04T14:47:11Z,null,112274,The Blitz,1585,vandalism
1592,98.249.131.90,327581496,327581519,http://en.wikipedia.org/w/index.php?diff=327581519&oldid=327581496,2009-11-24T01:32:54Z,/* References */,226559,John Hamm,1592,vandalism
1598,70.18.93.120,328826725,329088973,http://en.wikipedia.org/w/index.php?diff=329088973&oldid=328826725,2009-12-01T19:16:07Z,null,104447,Grandma Moses,1598,vandalism
1611,99.228.198.182,327801325,327934874,http://en.wikipedia.org/w/index.php?diff=327934874&oldid=327801325,2009-11-25T21:55:30Z,/* Breakfast Program */,3571229,Chinguacousy Secondary School,1611,vandalism
1621,75.69.111.102,327298992,327299108,http://en.wikipedia.org/w/index.php?diff=327299108&oldid=327298992,2009-11-22T15:36:42Z,/* Dolls */,4804545,Flavas,1621,vandalism
1647,137.163.16.199,328774035,328774110,http://en.wikipedia.org/w/index.php?diff=328774110&oldid=328774035,2009-11-30T10:23:13Z,/* Location */,100935,"Chinatown, Manhattan",1647,vandalism
1671,82.31.162.17,322022845,327138597,http://en.wikipedia.org/w/index.php?diff=327138597&oldid=322022845,2009-11-21T17:32:40Z,/* Utilities */,3530992,History of Woking,1671,vandalism
1676,164.116.244.194,307736801,329524917,http://en.wikipedia.org/w/index.php?diff=329524917&oldid=307736801,2009-12-03T20:32:16Z,/* Early recording career */,2646765,Charlene (singer),1676,vandalism
1716,121.217.125.99,326974389,327057503,http://en.wikipedia.org/w/index.php?diff=327057503&oldid=326974389,2009-11-21T04:34:03Z,/* Personal life */,6162301,Dakota Fanning,1716,vandalism
1726,Fartburgler,308242287,327415716,http://en.wikipedia.org/w/index.php?diff=327415716&oldid=308242287,2009-11-23T04:39:48Z,null,14254970,Scott Mueller,1726,vandalism
1742,98.151.194.14,327047300,327050490,http://en.wikipedia.org/w/index.php?diff=327050490&oldid=327047300,2009-11-21T03:35:31Z,null,6106572,List of hollows in Bleach,1742,vandalism
1754,209.26.153.130,323747539,329556664,http://en.wikipedia.org/w/index.php?diff=329556664&oldid=323747539,2009-12-03T23:01:53Z,/* External links */,2548541,Mike and Ike,1754,vandalism
1782,65.175.129.210,326757772,326927152,http://en.wikipedia.org/w/index.php?diff=326927152&oldid=326757772,2009-11-20T13:58:20Z,/* Notable inhabitants */,124931,"Rochester, New Hampshire",1782,vandalism
1798,24.200.40.29,326969860,327401636,http://en.wikipedia.org/w/index.php?diff=327401636&oldid=326969860,2009-11-23T02:56:35Z,/* Royalty */,252206,William,1798,vandalism
1813,Criminalman,327728793,328331441,http://en.wikipedia.org/w/index.php?diff=328331441&oldid=327728793,2009-11-28T06:00:10Z,/* Early life */,158595,Rupert Grint,1813,vandalism
1814,Satans Wizard,327219057,329253696,http://en.wikipedia.org/w/index.php?diff=329253696&oldid=327219057,2009-12-02T15:23:24Z,null,646113,Mark Little (Australian actor),1814,vandalism
1843,58.170.96.139,328433446,328554935,http://en.wikipedia.org/w/index.php?diff=328554935&oldid=328433446,2009-11-29T09:29:17Z,/* 1990s to present day */,147944,Rodney Mullen,1843,vandalism
1849,98.140.187.113,328832560,329244497,http://en.wikipedia.org/w/index.php?diff=329244497&oldid=328832560,2009-12-02T13:53:37Z,/* Regeneration */,17384301,Liver,1849,vandalism
1892,173.56.163.11,328004404,328246254,http://en.wikipedia.org/w/index.php?diff=328246254&oldid=328004404,2009-11-27T18:47:31Z,null,406877,Henry Winkler,1892,vandalism
1894,Jdshiznit,329070019,329070595,http://en.wikipedia.org/w/index.php?diff=329070595&oldid=329070019,2009-12-01T17:43:36Z,/* joe davis */,55771,Home Owners Loan Corporation,1894,vandalism
1899,71.105.68.244,328463239,329956728,http://en.wikipedia.org/w/index.php?diff=329956728&oldid=328463239,2009-12-05T23:26:09Z,/* Overview */,12354,Greatest common divisor,1899,vandalism
1930,216.226.127.130,266179068,328833116,http://en.wikipedia.org/w/index.php?diff=328833116&oldid=266179068,2009-11-30T17:23:35Z,/* Selected designs */,1566336,Ralph Thomas Walker,1930,vandalism
1931,98.151.30.162,243226738,329154649,http://en.wikipedia.org/w/index.php?diff=329154649&oldid=243226738,2009-12-02T01:21:09Z,/* External links */,1528757,Mopra Observatory,1931,vandalism
1948,24.11.236.233,327218619,329892746,http://en.wikipedia.org/w/index.php?diff=329892746&oldid=327218619,2009-12-05T16:52:00Z,/* Season-by-season */,874137,Barcelona Dragons,1948,vandalism
1952,71.230.15.119,329798019,329798290,http://en.wikipedia.org/w/index.php?diff=329798290&oldid=329798019,2009-12-05T02:56:50Z,/* References and parodies */,748902,Getting Any?,1952,vandalism
1986,67.173.121.4,327224431,327342661,http://en.wikipedia.org/w/index.php?diff=327342661&oldid=327224431,2009-11-22T20:30:18Z,null,8007613,Tom Whitecloud,1986,vandalism
1988,74.190.215.68,329540138,329540345,http://en.wikipedia.org/w/index.php?diff=329540345&oldid=329540138,2009-12-03T21:46:42Z,/* Notes */,773546,No taxation without representation,1988,vandalism
1996,66.130.60.251,328823871,328824071,http://en.wikipedia.org/w/index.php?diff=328824071&oldid=328823871,2009-11-30T16:35:10Z,/* See also */,49071,Oceanus,1996,vandalism
2008,158.165.168.228,329035925,329130767,http://en.wikipedia.org/w/index.php?diff=329130767&oldid=329035925,2009-12-01T22:53:22Z,null,438390,Things Fall Apart,2008,vandalism
2062,121.165.130.100,327595977,328000066,http://en.wikipedia.org/w/index.php?diff=328000066&oldid=327595977,2009-11-26T06:27:05Z,it wont be porn in taiwan,12746052,Ran Asakawa,2062,vandalism
2080,58.170.0.49,328359700,328359886,http://en.wikipedia.org/w/index.php?diff=328359886&oldid=328359700,2009-11-28T10:56:17Z,/* 28 */,20901854,Deaths in 2009,2080,vandalism
2081,98.64.92.180,327595961,328088732,http://en.wikipedia.org/w/index.php?diff=328088732&oldid=327595961,2009-11-26T19:52:00Z,/* Alleged relation to crimes */,14102828,Childs Play (film series),2081,vandalism
2084,24.43.23.167,327550123,327550316,http://en.wikipedia.org/w/index.php?diff=327550316&oldid=327550123,2009-11-23T22:16:31Z,/* Synopsis */,33928,West Side Story,2084,vandalism
2107,78.146.214.174,325289872,327552052,http://en.wikipedia.org/w/index.php?diff=327552052&oldid=325289872,2009-11-23T22:26:31Z,null,400031,Stroke volume,2107,vandalism
2125,216.157.214.236,326868168,327511305,http://en.wikipedia.org/w/index.php?diff=327511305&oldid=326868168,2009-11-23T18:26:09Z,null,217291,Dodgeball,2125,vandalism
2128,24.42.178.88,329114489,329184814,http://en.wikipedia.org/w/index.php?diff=329184814&oldid=329114489,2009-12-02T04:42:19Z,/* Personal life */,38134,Seal (musician),2128,vandalism
2136,68.42.130.148,327452447,327620366,http://en.wikipedia.org/w/index.php?diff=327620366&oldid=327452447,2009-11-24T06:39:45Z,/* Online poker */,17073343,Tom Dwan,2136,vandalism
2143,Separate cheqs,327641776,327682626,http://en.wikipedia.org/w/index.php?diff=327682626&oldid=327641776,2009-11-24T16:02:14Z,[[WP:UNDO|Undid]] revision 327641776 by [[Special:Contributions/Suffusion of Yellow|Suffusion of Yellow]] ([[User talk:Suffusion of Yellow|talk]]),19698503,Anti-Zionism,2143,vandalism
2180,117.201.33.85,302043907,327267805,http://en.wikipedia.org/w/index.php?diff=327267805&oldid=302043907,2009-11-22T10:36:53Z,null,11142653,Geraftaar,2180,vandalism
2221,96.8.168.244,325299868,328171730,http://en.wikipedia.org/w/index.php?diff=328171730&oldid=325299868,2009-11-27T07:28:04Z,null,988208,Eskimo kissing,2221,vandalism
2245,168.8.212.157,327492913,327493135,http://en.wikipedia.org/w/index.php?diff=327493135&oldid=327492913,2009-11-23T16:24:17Z,/* Curriculum */,24259789,Langston Hughes High School,2245,vandalism
2262,69.199.143.137,327503287,327503435,http://en.wikipedia.org/w/index.php?diff=327503435&oldid=327503287,2009-11-23T17:33:20Z,null,4881021,Mustapha,2262,vandalism
2301,201.253.33.85,325917927,328316162,http://en.wikipedia.org/w/index.php?diff=328316162&oldid=325917927,2009-11-28T03:34:07Z,/* See also */,573112,Bianca,2301,vandalism
2332,74.228.124.218,329088599,329088839,http://en.wikipedia.org/w/index.php?diff=329088839&oldid=329088599,2009-12-01T19:15:26Z,/* Academics */,7516530,Pinewood Christian Academy,2332,vandalism
2344,86.165.113.222,329718607,329720976,http://en.wikipedia.org/w/index.php?diff=329720976&oldid=329718607,2009-12-04T19:38:19Z,/* Controversy */,20728335,Jack Whitehall,2344,vandalism
2353,98.200.153.186,327691336,327713618,http://en.wikipedia.org/w/index.php?diff=327713618&oldid=327691336,2009-11-24T19:15:45Z,/* Love Interests */,7907485,List of main characters in Ben 10,2353,vandalism
2397,70.79.64.194,324308680,329137044,http://en.wikipedia.org/w/index.php?diff=329137044&oldid=324308680,2009-12-01T23:29:32Z,/* Origin of the word */,504936,Sombrero,2397,vandalism
2399,173.24.86.127,329198600,329574000,http://en.wikipedia.org/w/index.php?diff=329574000&oldid=329198600,2009-12-04T00:28:39Z,null,86368,Puzzle,2399,vandalism
2432,168.8.212.124,327995865,328862075,http://en.wikipedia.org/w/index.php?diff=328862075&oldid=327995865,2009-11-30T19:46:44Z,null,7116804,Riverwood High School,2432,vandalism
2499,98.212.188.51,326754059,327149392,http://en.wikipedia.org/w/index.php?diff=327149392&oldid=326754059,2009-11-21T18:48:00Z,/* External links */,189917,"René-Robert Cavelier, Sieur de La Salle",2499,vandalism
2525,99.150.147.126,327114818,327340579,http://en.wikipedia.org/w/index.php?diff=327340579&oldid=327114818,2009-11-22T20:17:57Z,null,18994679,Googol,2525,vandalism
2535,98.148.132.25,327220542,327221767,http://en.wikipedia.org/w/index.php?diff=327221767&oldid=327220542,2009-11-22T02:51:55Z,/* The Stone Age in archaeology */,29219,Stone Age,2535,vandalism
2544,90.216.160.255,325572912,329265354,http://en.wikipedia.org/w/index.php?diff=329265354&oldid=325572912,2009-12-02T16:38:04Z,null,11078542,Cultural impact of Elvis Presley,2544,vandalism
2552,72.177.60.85,326358559,329085057,http://en.wikipedia.org/w/index.php?diff=329085057&oldid=326358559,2009-12-01T18:56:10Z,/* Life and career */,4741836,Dan Byrd,2552,vandalism
2566,99.187.85.89,327577848,327880788,http://en.wikipedia.org/w/index.php?diff=327880788&oldid=327577848,2009-11-25T16:16:13Z,null,35214,24,2566,vandalism
2581,24.148.101.104,326532583,326563924,http://en.wikipedia.org/w/index.php?diff=326563924&oldid=326532583,2009-11-18T17:05:55Z,/* Production */,1817614,M1919 Browning machine gun,2581,vandalism
2735,64.209.158.254,326053334,326973157,http://en.wikipedia.org/w/index.php?diff=326973157&oldid=326053334,2009-11-20T18:56:42Z,/* Track listing */,20959564,For Those About to Rock We Salute You,2735,vandalism
2745,79.69.224.124,323653610,328788273,http://en.wikipedia.org/w/index.php?diff=328788273&oldid=323653610,2009-11-30T12:26:20Z,/* Drug rehabilitation */,923608,Tom Chaplin,2745,vandalism
2762,71.191.51.206,330094459,330098348,http://en.wikipedia.org/w/index.php?diff=330098348&oldid=330094459,2009-12-06T18:49:43Z,null,24427022,UFC 110,2762,vandalism
2780,66.62.194.69,328732901,329527351,http://en.wikipedia.org/w/index.php?diff=329527351&oldid=328732901,2009-12-03T20:44:19Z,null,18602659,List of playing card nicknames,2780,vandalism
2845,74.73.246.147,326908908,327241278,http://en.wikipedia.org/w/index.php?diff=327241278&oldid=326908908,2009-11-22T05:38:09Z,/* Births */,15844,1-Jul,2845,vandalism
2850,202.134.51.15,322903524,327552511,http://en.wikipedia.org/w/index.php?diff=327552511&oldid=322903524,2009-11-23T22:28:52Z,null,305679,Body water,2850,vandalism
2858,188.74.73.107,327365422,329773905,http://en.wikipedia.org/w/index.php?diff=329773905&oldid=327365422,2009-12-05T00:24:53Z,/* External links */,7529456,Inverclyde National Sports Training Centre,2858,vandalism
2859,92.82.96.67,327992570,328225379,http://en.wikipedia.org/w/index.php?diff=328225379&oldid=327992570,2009-11-27T16:11:12Z,/* Soundtrack */,4518378,Shottas,2859,vandalism
2865,142.227.34.65,327898041,327899280,http://en.wikipedia.org/w/index.php?diff=327899280&oldid=327898041,2009-11-25T18:21:32Z,/* External links */,9459826,Manuel Uribe,2865,vandalism
2866,96.242.145.32,327834266,327879290,http://en.wikipedia.org/w/index.php?diff=327879290&oldid=327834266,2009-11-25T16:06:04Z,/* Manufacture */,61230,Candy,2866,vandalism
2901,86.40.239.154,326211474,327265151,http://en.wikipedia.org/w/index.php?diff=327265151&oldid=326211474,2009-11-22T10:06:10Z,null,20717580,Craughwell United F.C.,2901,vandalism
2933,217.139.15.81,327939884,327939981,http://en.wikipedia.org/w/index.php?diff=327939981&oldid=327939884,2009-11-25T22:27:08Z,/* Zonda Cinque */,1317211,Pagani Zonda,2933,vandalism
2941,Arromes,327974116,327974851,http://en.wikipedia.org/w/index.php?diff=327974851&oldid=327974116,2009-11-26T02:31:32Z,/* Early life */,23860776,Maximilien Robespierre,2941,vandalism
2955,81.152.207.48,329527229,329529547,http://en.wikipedia.org/w/index.php?diff=329529547&oldid=329527229,2009-12-03T20:54:46Z,null,5829646,Lynn Grove High School,2955,vandalism
2975,72.66.111.178,299483131,327336152,http://en.wikipedia.org/w/index.php?diff=327336152&oldid=299483131,2009-11-22T19:50:09Z,null,22744972,Daniel Halberstam,2975,vandalism
3000,24.12.42.85,327550800,327550932,http://en.wikipedia.org/w/index.php?diff=327550932&oldid=327550800,2009-11-23T22:20:01Z,/* Helios and Apollo */,67230,Helios,3000,vandalism
3057,86.162.51.122,326807559,327538650,http://en.wikipedia.org/w/index.php?diff=327538650&oldid=326807559,2009-11-23T21:09:35Z,/* External links */,206996,Twiggy,3057,vandalism
3104,121.45.203.138,327609714,327851432,http://en.wikipedia.org/w/index.php?diff=327851432&oldid=327609714,2009-11-25T12:17:25Z,/* Financials and funding */,851395,Metal Storm,3104,vandalism
3123,85.171.154.115,329119141,329132274,http://en.wikipedia.org/w/index.php?diff=329132274&oldid=329119141,2009-12-01T23:01:17Z,/* Economic fundamentals */,157649,Wall Street Crash of 1929,3123,vandalism
3130,80.6.35.164,328203724,328225066,http://en.wikipedia.org/w/index.php?diff=328225066&oldid=328203724,2009-11-27T16:08:41Z,/* Project history */,65192,Three Gorges Dam,3130,vandalism
3151,199.185.88.162,326935559,326963963,http://en.wikipedia.org/w/index.php?diff=326963963&oldid=326935559,2009-11-20T17:55:12Z,/* International events */,351949,Hungarian Revolution of 1956,3151,vandalism
3173,38.116.202.98,328867640,329478040,http://en.wikipedia.org/w/index.php?diff=329478040&oldid=328867640,2009-12-03T16:26:21Z,/* Background */,8442323,Mexican Drug War,3173,vandalism
3185,Blahblah31246,327838194,327876040,http://en.wikipedia.org/w/index.php?diff=327876040&oldid=327838194,2009-11-25T15:43:25Z,/* eight,19879390,Star Wars: The Old Republic,3185,vandalism
3198,99.63.214.18,327730732,327950393,http://en.wikipedia.org/w/index.php?diff=327950393&oldid=327730732,2009-11-25T23:36:08Z,null,349628,Mediterranean climate,3198,vandalism
3202,66.114.31.106,328384869,328840263,http://en.wikipedia.org/w/index.php?diff=328840263&oldid=328384869,2009-11-30T18:00:15Z,/* Singapore */,1047847,List of holidays by country,3202,vandalism
