editid,editor,oldrevisionid,newrevisionid,diffurl,edittime,editcomment,articleid,articletitle,editid_1,class,sort
31430,211.30.99.171,328704075,328704432,http://en.wikipedia.org/w/index.php?diff=328704432&oldid=328704075,2009-11-30T01:18:48Z,/* External links */,18935758,Sampling (music),31430,regular,0.630804853
11292,Juliancolton,328293934,328293953,http://en.wikipedia.org/w/index.php?diff=328293953&oldid=328293934,2009-11-28T00:33:30Z,Reverted edits by [[Special:Contributions/68.51.172.211|68.51.172.211]] to last revision by SchfiftyThree ([[Wikipedia:Huggle|HG]]),20647283,Rachel Bilson,11292,regular,0.359535829
18223,84.44.153.128,330073741,330085421,http://en.wikipedia.org/w/index.php?diff=330085421&oldid=330073741,2009-12-06T17:18:07Z,/* Examples */ cleanup,14832328,Data rate units,18223,regular,0.534911235
2108,ConcernedRoxy,328628873,328800000,http://en.wikipedia.org/w/index.php?diff=328800000&oldid=328628873,2009-11-30T13:53:59Z,null,19342897,Alyssa Love,2108,regular,0.098707778
40883,94.123.202.59,328078588,328078700,http://en.wikipedia.org/w/index.php?diff=328078700&oldid=328078588,2009-11-26T18:38:11Z,/* Doubles (5) */,11870943,Marcel Granollers,40883,regular,0.741673908
30445,Jaw101ie,324392114,327268970,http://en.wikipedia.org/w/index.php?diff=327268970&oldid=324392114,2009-11-22T10:50:12Z,/* Central Africa */,5578536,Afriqiyah Airways destinations,30445,regular,0.006277412
45314,82.246.8.173,328729486,329888182,http://en.wikipedia.org/w/index.php?diff=329888182&oldid=328729486,2009-12-05T16:19:13Z,/* Discography */,6494248,Lorenzo Ferrero,45314,regular,0.493488051
11182,RJFJR,315776988,327699088,http://en.wikipedia.org/w/index.php?diff=327699088&oldid=315776988,2009-11-24T17:43:15Z,"/* Powers */ link, move external link",1312962,District of Columbia Court of Appeals,11182,regular,0.736318771
25607,Alex Bakharev,327572726,327574187,http://en.wikipedia.org/w/index.php?diff=327574187&oldid=327572726,2009-11-24T00:43:54Z,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/174.113.24.87|174.113.24.87]] ([[User talk:174.113.24.87|talk]]) to last version by Fetchcomms,289786,Peanut butter,25607,regular,0.804900937
45156,667DarkAve,327422336,327618646,http://en.wikipedia.org/w/index.php?diff=327618646&oldid=327422336,2009-11-24T06:22:29Z,Changed a misspelling in Yobie Benjamins name (was spelt Benjamiin),14059031,Mac OS X Snow Leopard,45156,regular,0.730941726
8453,Bdb484,327560492,327676677,http://en.wikipedia.org/w/index.php?diff=327676677&oldid=327560492,2009-11-24T15:22:53Z,/* Other interpretations */ restoring balanced version,9086178,Number of the Beast,8453,regular,0.78317032
20611,24.173.14.194,329234697,329779299,http://en.wikipedia.org/w/index.php?diff=329779299&oldid=329234697,2009-12-05T00:54:53Z,/* Football */,7048439,List of Baylor University people,20611,regular,0.998261261
20983,Restu20,328217678,328222871,http://en.wikipedia.org/w/index.php?diff=328222871&oldid=328217678,2009-11-27T15:51:26Z,#NAME?,8482499,2010 Formula One season,20983,regular,0.094874901
520,Rosser1954,328222437,329891958,http://en.wikipedia.org/w/index.php?diff=329891958&oldid=328222437,2009-12-05T16:46:28Z,Castle details,7902721,Eglinton Castle,520,regular,0.511169955
35064,209.6.40.40,329567346,329567584,http://en.wikipedia.org/w/index.php?diff=329567584&oldid=329567346,2009-12-03T23:53:16Z,null,4448563,Brian L. Roberts,35064,regular,0.417174508
43797,Patmaher,328232596,328741496,http://en.wikipedia.org/w/index.php?diff=328741496&oldid=328232596,2009-11-30T05:28:47Z,/* National teams */,23676858,International Basketball Federation,43797,regular,0.032838953
10533,RJFJR,237122104,327603955,http://en.wikipedia.org/w/index.php?diff=327603955&oldid=237122104,2009-11-24T04:10:24Z,wording,14110987,Fairy-locks,10533,regular,0.676448871
32149,74.83.126.88,324680592,328711304,http://en.wikipedia.org/w/index.php?diff=328711304&oldid=324680592,2009-11-30T02:00:54Z,/* Ancestry */,77606,Charles VIII of France,32149,regular,0.265797507
44282,121.91.121.6,328769771,328769907,http://en.wikipedia.org/w/index.php?diff=328769907&oldid=328769771,2009-11-30T09:43:42Z,null,1988806,Lolita (1997 film),44282,regular,0.875918375
23264,William Avery,327104886,327105940,http://en.wikipedia.org/w/index.php?diff=327105940&oldid=327104886,2009-11-21T13:11:51Z,Reverted 1 edit by [[Special:Contributions/217.44.218.41|217.44.218.41]]. ([[WP:TW|TW]]),87410,Coral reef,23264,regular,0.694788473
28101,80.254.146.52,324938875,327644500,http://en.wikipedia.org/w/index.php?diff=327644500&oldid=324938875,2009-11-24T10:50:35Z,null,2000369,Swinton Lions,28101,regular,0.257141167
28322,Joy,328051378,328051627,http://en.wikipedia.org/w/index.php?diff=328051627&oldid=328051378,2009-11-26T15:19:57Z,converted inline external links to references,4744726,Croatian National Corpus,28322,regular,0.582353581
7679,Rich Farmbrough,233959075,328462857,http://en.wikipedia.org/w/index.php?diff=328462857&oldid=233959075,2009-11-28T22:33:18Z,Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],12383254,A New Shape of Desperation,7679,regular,0.738576844
14134,Rich Farmbrough,290506678,328785470,http://en.wikipedia.org/w/index.php?diff=328785470&oldid=290506678,2009-11-30T12:03:01Z,Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],17254437,10415 Mali Lošinj,14134,regular,0.029509731
7094,130.166.31.234,329182672,329183652,http://en.wikipedia.org/w/index.php?diff=329183652&oldid=329182672,2009-12-02T04:33:14Z,/* Notable attractions */,434537,"Encino, Los Angeles, California",7094,regular,0.493003479
20966,DAJF,327197140,327385330,http://en.wikipedia.org/w/index.php?diff=327385330&oldid=327197140,2009-11-23T00:59:28Z,Remove image not related to safety section,92516,Shinkansen,20966,regular,0.989489834
959,Bonewah,317644197,326780470,http://en.wikipedia.org/w/index.php?diff=326780470&oldid=317644197,2009-11-19T19:16:26Z,Quick-adding category [[:Category:Maritime incidents in 1944|Maritime incidents in 1944]] (using [[WP:HOTCAT|HotCat]]),157624,German battleship Tirpitz,959,regular,0.564198054
15311,Piriczki,327032138,327048025,http://en.wikipedia.org/w/index.php?diff=327048025&oldid=327032138,2009-11-21T03:14:39Z,[[WP:UNDO|Undid]] revision 327032138 by [[Special:Contributions/Billc1028|Billc1028]] ([[User talk:Billc1028|talk]]),308230,List of best-selling singles in the United States,15311,regular,0.087995993
34692,Hu12,328143518,328420204,http://en.wikipedia.org/w/index.php?diff=328420204&oldid=328143518,2009-11-28T18:21:21Z,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/Worldenc|Worldenc]] ([[User talk:Worldenc|talk]]) to last version by JohnAlbertRigali,107623,"Duarte, California",34692,regular,0.910922135
3759,99.239.62.206,324019736,327292072,http://en.wikipedia.org/w/index.php?diff=327292072&oldid=324019736,2009-11-22T14:38:15Z,null,23715114,Cars Race-O-Rama,3759,regular,0.669185123
22388,69.178.194.49,328020169,328086761,http://en.wikipedia.org/w/index.php?diff=328086761&oldid=328020169,2009-11-26T19:36:57Z,/* Channels 800–899 */,7148724,List of Dish Network channels USA,22388,regular,0.222828005
5112,Levineps,325099476,329197542,http://en.wikipedia.org/w/index.php?diff=329197542&oldid=325099476,2009-12-02T06:32:55Z,/* References */,16551520,Oklahoma Sooners mens basketball,5112,regular,0.479620198
24883,Epbr123,322108281,327028743,http://en.wikipedia.org/w/index.php?diff=327028743&oldid=322108281,2009-11-21T00:50:09Z,rm unsourced,2693532,Keri Windsor,24883,regular,0.345712359
33667,97.85.144.209,326803501,326803987,http://en.wikipedia.org/w/index.php?diff=326803987&oldid=326803501,2009-11-19T21:27:24Z,/* Future Plans */,3025946,Bi-State Development Agency,33667,regular,0.931010362
11467,Jevansen,316198728,328335336,http://en.wikipedia.org/w/index.php?diff=328335336&oldid=316198728,2009-11-28T06:42:12Z,added Category:Scotland international rugby union footballers using [[Project:AutoWikiBrowser|AWB]],14300150,Rodger Arneil,11467,regular,0.565817432
25066,Wizardman,328303886,329933383,http://en.wikipedia.org/w/index.php?diff=329933383&oldid=328303886,2009-12-05T21:05:32Z,/* Sports */ fix,13085409,List of Omega Psi Phi brothers,25066,regular,0.773277059
16245,Netalarm,327699669,327758526,http://en.wikipedia.org/w/index.php?diff=327758526&oldid=327699669,2009-11-24T23:17:56Z,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/DianasunVA|DianasunVA]] ([[User talk:DianasunVA|talk]]) to last version by Netalarm,45425,Smart growth,16245,regular,0.272851931
19907,SchuminWeb,328510876,329190593,http://en.wikipedia.org/w/index.php?diff=329190593&oldid=328510876,2009-12-02T05:29:02Z,Removing backlinks to AM Conspiracy that has been speedily deleted per ([[WP:CSD#A7|CSD A7]]);  using [[WP:TWINKLE|TW]],10326790,WWE SmackDown vs. Raw 2008,19907,regular,0.448086146
34766,91.107.190.44,329210789,329210855,http://en.wikipedia.org/w/index.php?diff=329210855&oldid=329210789,2009-12-02T08:38:57Z,null,1708752,Daniel MacPherson,34766,regular,0.452596321
6212,Mainly.generic,327431305,327431317,http://en.wikipedia.org/w/index.php?diff=327431317&oldid=327431305,2009-11-23T06:59:55Z,"/* Outstanding Lighting Direction (Electronic, Multi-Camera) for Variety, Music, or Comedy Programming */",25173783,List of awards and nominations received by Saturday Night Live,6212,regular,0.095325516
6038,Peppage,320399441,329688141,http://en.wikipedia.org/w/index.php?diff=329688141&oldid=320399441,2009-12-04T16:38:19Z,/* External links */ add imdb,14508376,Akkara Paha,6038,regular,0.649483295
24764,Rich Farmbrough,323751146,329023697,http://en.wikipedia.org/w/index.php?diff=329023697&oldid=323751146,2009-12-01T13:05:49Z,/* Season schedule */Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],8780738,1951 Chicago Bears season,24764,regular,0.299387367
2376,Rogerd,328079390,328878790,http://en.wikipedia.org/w/index.php?diff=328878790&oldid=328079390,2009-11-30T21:04:32Z,Disambiguate [[University of the Pacific]] to [[University of the Pacific (United States)]] using [[:en:Wikipedia:Tools/Navigation_popups|popups]],6115075,List of university and college schools of music,2376,regular,0.738282558
23591,213.240.15.14,326000993,328210302,http://en.wikipedia.org/w/index.php?diff=328210302&oldid=326000993,2009-11-27T14:11:12Z,/* Italy */,166442,List of tunnels by location,23591,regular,0.157169748
3574,LilHelpa,317940620,328786024,http://en.wikipedia.org/w/index.php?diff=328786024&oldid=317940620,2009-11-30T12:07:29Z,"[[WP:AWB/T|Typo fixing]] and general fixes, added [[CAT:O|orphan]] tag using [[Project:AWB]]",9724953,Junior Field Trips,3574,regular,0.336072871
31490,McGeddon,326939979,326943864,http://en.wikipedia.org/w/index.php?diff=326943864&oldid=326939979,2009-11-20T15:56:18Z,appears to be to who?,247558,Spork,31490,regular,0.077859588
44531,212.219.131.20,329047820,329048151,http://en.wikipedia.org/w/index.php?diff=329048151&oldid=329047820,2009-12-01T15:43:24Z,/* Offensive or aggressive baseliner */,2092448,Tennis strategy,44531,regular,0.563615582
44906,Regalthai,328111676,328111757,http://en.wikipedia.org/w/index.php?diff=328111757&oldid=328111676,2009-11-26T22:53:27Z,Information deleted is false see talk page,2895701,Thai Ridgeback,44906,regular,0.3459377
10238,Life of Riley,329605113,329607014,http://en.wikipedia.org/w/index.php?diff=329607014&oldid=329605113,2009-12-04T04:20:37Z,Moved reflist to appropriate place.,16141659,Edge of Twilight,10238,regular,0.227806082
30358,Cbl62,328669339,328670858,http://en.wikipedia.org/w/index.php?diff=328670858&oldid=328669339,2009-11-29T22:11:58Z,Santa Cruz article,25245311,Alice McGrath,30358,regular,0.736888459
275,McGill1974,323585048,328063323,http://en.wikipedia.org/w/index.php?diff=328063323&oldid=323585048,2009-11-26T16:49:43Z,/* Farm system */ fixed column size bug,12383722,1981 Oakland Athletics season,275,regular,0.725947261
38390,Huo Xin,326867745,326868442,http://en.wikipedia.org/w/index.php?diff=326868442&oldid=326867745,2009-11-20T04:03:22Z,/* Jeet Kune Do */,37313,Bruce Lee,38390,regular,0.748936032
17854,LargoLarry,327305642,327305804,http://en.wikipedia.org/w/index.php?diff=327305804&oldid=327305642,2009-11-22T16:26:57Z,/* Production history */ update,21827604,Wonderland: Alices New Musical Adventure,17854,regular,0.024259006
41478,Amire80,287360480,327257408,http://en.wikipedia.org/w/index.php?diff=327257408&oldid=287360480,2009-11-22T08:33:52Z,{{redirect|Moose (software)|Talking Moose|Talking Moose}},19946240,Moose (Perl),41478,regular,0.244007554
31418,Dicklyon,329037108,329051301,http://en.wikipedia.org/w/index.php?diff=329051301&oldid=329037108,2009-12-01T16:01:14Z,/* See also */ dont pipe,945206,Methylsulfonylmethane,31418,regular,0.616073814
11360,198.3.128.3,327608216,327698666,http://en.wikipedia.org/w/index.php?diff=327698666&oldid=327608216,2009-11-24T17:40:35Z,/* Live performances */,24898375,For Your Entertainment (song),11360,regular,0.680091456
31011,Joseolgon,267075561,328215288,http://en.wikipedia.org/w/index.php?diff=328215288&oldid=267075561,2009-11-27T14:51:02Z,null,16908053,Sieves House,31011,regular,0.234219992
18816,Damiensaatdjian,329103088,329181224,http://en.wikipedia.org/w/index.php?diff=329181224&oldid=329103088,2009-12-02T04:14:19Z,null,5816925,New York Youth Symphony,18816,regular,0.585653192
34585,Worldenc,326912998,328306546,http://en.wikipedia.org/w/index.php?diff=328306546&oldid=326912998,2009-11-28T02:10:41Z,/* Demographics */,108113,"Hillsborough, California",34585,regular,0.51689345
31341,Buckyboot,328729487,329550155,http://en.wikipedia.org/w/index.php?diff=329550155&oldid=328729487,2009-12-03T22:32:07Z,/* Noteworthy Residents */,133084,"Plymouth, Pennsylvania",31341,regular,0.330619987
23880,82.33.127.209,323684340,327532724,http://en.wikipedia.org/w/index.php?diff=327532724&oldid=323684340,2009-11-23T20:34:12Z,/* Twilight Zone references and design information */,719340,The Twilight Zone Tower of Terror,23880,regular,0.248124489
26709,Þadius,323186931,327765199,http://en.wikipedia.org/w/index.php?diff=327765199&oldid=323186931,2009-11-24T23:56:06Z,null,24915198,Tom Lysons,26709,regular,0.626060507
1587,TomB123,328806647,328806881,http://en.wikipedia.org/w/index.php?diff=328806881&oldid=328806647,2009-11-30T14:44:41Z,null,2851312,The Game Creators,1587,regular,0.494110186
30927,72.204.64.251,327607231,327616043,http://en.wikipedia.org/w/index.php?diff=327616043&oldid=327607231,2009-11-24T05:58:12Z,/* Discography */,10162969,OneRepublic,30927,regular,0.761183683
6624,68.40.50.52,326925021,326943009,http://en.wikipedia.org/w/index.php?diff=326943009&oldid=326925021,2009-11-20T15:51:19Z,/* Nominations table */,20647577,Bigg Boss (Season 3),6624,regular,0.0101329
30175,Woohookitty,327899412,328739786,http://en.wikipedia.org/w/index.php?diff=328739786&oldid=327899412,2009-11-30T05:13:38Z,disam,516962,History of video game consoles (third generation),30175,regular,0.498082417
10801,Marek69,328548977,329775084,http://en.wikipedia.org/w/index.php?diff=329775084&oldid=328548977,2009-12-05T00:31:25Z,"[[WP:AWB/T|Typo fixing]], general fixes and clean up, typos fixed: calvinists → Calvinists, african → African, european → European using [[Project:AutoWikiBrowser|AWB]]",2126912,Ixelles,10801,regular,0.450919176
14324,Nlu,320033683,328435625,http://en.wikipedia.org/w/index.php?diff=328435625&oldid=320033683,2009-11-28T19:57:56Z,/* Uprising against Liu Shao */ dab,5270636,Emperor Xiaowu of Liu Song,14324,regular,0.511438203
4756,HamburgerRadio,328563624,328564057,http://en.wikipedia.org/w/index.php?diff=328564057&oldid=328563624,2009-11-29T11:00:19Z,Reverted edits by [[Special:Contributions/81.99.96.14|81.99.96.14]] to last revision by Marek69 ([[Wikipedia:Huggle|HG]]),49557,Castle,4756,regular,0.451879909
22242,Vegavairbob,328483002,328483601,http://en.wikipedia.org/w/index.php?diff=328483601&oldid=328483002,2009-11-29T00:33:40Z,/* Gallery */,284998,Chevrolet Impala,22242,regular,0.615099372
38912,Ahodges7,329169995,329170216,http://en.wikipedia.org/w/index.php?diff=329170216&oldid=329169995,2009-12-02T02:59:53Z,/* Cityscape */ added image,151222,"Midland, Texas",38912,regular,0.803054323
2243,173.24.243.231,329154941,329158010,http://en.wikipedia.org/w/index.php?diff=329158010&oldid=329154941,2009-12-02T01:41:31Z,null,574536,List of United States presidential assassination attempts and plots,2243,regular,0.593799732
32252,66.217.112.3,328452099,328452216,http://en.wikipedia.org/w/index.php?diff=328452216&oldid=328452099,2009-11-28T21:33:13Z,/* L */ Laverne & Shirly before LOCI,19406557,List of programs broadcast by WGN America,32252,regular,0.760870958
3182,Tataryn77,328147589,328151091,http://en.wikipedia.org/w/index.php?diff=328151091&oldid=328147589,2009-11-27T04:06:06Z,null,74658,Valentinian I,3182,regular,0.096850438
23398,American Eagle,324189952,327426738,http://en.wikipedia.org/w/index.php?diff=327426738&oldid=324189952,2009-11-23T06:17:55Z,#NAME?,22432258,Rich Christiano,23398,regular,0.221067213
40161,92.83.255.147,328249380,329635913,http://en.wikipedia.org/w/index.php?diff=329635913&oldid=328249380,2009-12-04T09:11:06Z,/* FTSE emerging markets list */,1321361,Emerging markets,40161,regular,0.200088652
2684,Brikathleen,329910075,329910914,http://en.wikipedia.org/w/index.php?diff=329910914&oldid=329910075,2009-12-05T18:50:49Z,/* Causes */,7356538,Dysprosody,2684,regular,0.939343548
18048,Kesavhansi,328460592,328460663,http://en.wikipedia.org/w/index.php?diff=328460663&oldid=328460592,2009-11-28T22:20:56Z,null,5456985,Craig Heller,18048,regular,0.372472627
33284,Gagawiki,328902193,329122146,http://en.wikipedia.org/w/index.php?diff=329122146&oldid=328902193,2009-12-01T22:08:09Z,/* Music videos */,21748546,Belinda discography,33284,regular,0.608176743
15023,57.250.229.136,326471397,329653453,http://en.wikipedia.org/w/index.php?diff=329653453&oldid=326471397,2009-12-04T12:26:50Z,null,2245166,Pienza,15023,regular,0.553022616
7797,RaseaC,327780489,327780510,http://en.wikipedia.org/w/index.php?diff=327780510&oldid=327780489,2009-11-25T01:32:33Z,Reverted edits by [[Special:Contributions/207.6.150.248|207.6.150.248]] to last revision by 82.35.238.145 ([[WP:HG|HG]]),2462183,Franks,7797,regular,0.680586254
31370,Ronhjones,327375938,327375966,http://en.wikipedia.org/w/index.php?diff=327375966&oldid=327375938,2009-11-22T23:57:28Z,Reverted edits by [[Special:Contributions/90.218.196.56|90.218.196.56]] to last revision by TheNewMinistry ([[WP:HG|HG]]),8313818,Gabe Sapolsky,31370,regular,0.545599526
37258,87.254.95.87,327467025,327704176,http://en.wikipedia.org/w/index.php?diff=327704176&oldid=327467025,2009-11-24T18:15:20Z,/* Scheduled */,2769938,Isle of Man Airport,37258,regular,0.060916199
40616,All Hallows Wraith,328537413,328766950,http://en.wikipedia.org/w/index.php?diff=328766950&oldid=328537413,2009-11-30T09:16:43Z,c.e.,3213549,Michael Jai White,40616,regular,0.737045914
339,65.95.237.141,328168052,328168364,http://en.wikipedia.org/w/index.php?diff=328168364&oldid=328168052,2009-11-27T06:50:56Z,/* Serbian national team */,2473308,Radomir Antić,339,regular,0.430014964
